,Address,Type,Price,Year Built,Energy Rating,Monthly Ownership Costs,List Time,City,Rooms,m2,Currency,Price Change %,Price per. m2,Price Category
149,"Thunøgade 42, st.",Ejerlejlighed,3695000,1885,E,4657,137 dage,Aarhus C,3,75.0,DKK,"0,00",49267.0,3500000-4000000
150,Onsholtgårdsvej 108,Helårsgrund,2498000,N/A,N/A,1045,137 dage,Viby J,,,DKK,"-7,00",,2000000-2500000
151,Kirkevænget 124,Villa,2995000,1970,D,2660,137 dage,Tranbjerg J,4,122.0,DKK,"0,00",24549.0,2500000-3000000
152,"Åboulevarden 61, 1. tv",Ejerlejlighed,3895000,1929,C,4226,138 dage,Aarhus C,3,87.0,DKK,"-5,00",44770.0,3500000-4000000
153,Christen Købkes Gade 19,Andelsbolig,822242,1925,C,3736,139 dage,Aarhus C,1,35.0,DKK,"0,00",23493.0,500000-1000000
154,"Framlevvej 10, Framlev",Villa,2198000,1952,D,1899,139 dage,Harlev J,3,108.0,DKK,"0,00",20352.0,2000000-2500000
155,Ellemosevej 21,Villa,1995000,1920,E,3504,140 dage,Tranbjerg J,5,150.0,DKK,"-11,00",13300.0,1500000-2000000
156,Jadevej 10,Villa,3698000,1969,B,3052,140 dage,Skødstrup,5,158.0,DKK,"-3,00",23405.0,3500000-4000000
157,"Engtoften 10, st. Dør/lejl. 1",Ejerlejlighed,1548000,2006,C,1542,144 dage,Viby J,1,49.0,DKK,"0,00",31592.0,1500000-2000000
158,Onsholtgårdsvej 38,Villa,5495000,2011,A2010,2867,144 dage,Viby J,4,170.0,DKK,"0,00",32324.0,4000000<
159,Espedalen 51,Villa,5698000,1966,D,3929,145 dage,Risskov,5,172.0,DKK,"0,00",33128.0,4000000<
160,"Sonnesgade 17, ST. TV",Ejerlejlighed,2495000,1918,E,2075,146 dage,Aarhus C,2,56.0,DKK,"0,00",44554.0,2000000-2500000
161,Solbærhaven 162,Rækkehus,2495000,2000,B,2094,146 dage,Lystrup,2,85.0,DKK,"-7,00",29353.0,2000000-2500000
162,"Eckersbergsgade 19, 4. tv",Ejerlejlighed,2195000,1936,C,2612,146 dage,Aarhus C,2,56.0,DKK,"-4,00",39196.0,2000000-2500000
163,Kildehaven 76,Rækkehus,2395000,1991,A2010,2091,147 dage,Lystrup,2,81.0,DKK,"0,00",29568.0,2000000-2500000
164,Rugmarken 57,Villa,4195000,1974,C,3487,148 dage,Lystrup,4,193.0,DKK,"-3,00",21736.0,4000000<
